RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
RIO ZAMORA;779.621;9.622.873;P1;26/1/2022 0:00;21,5;8;7,6;74;6,2;0,84;4,6;12;1782;68,48;Malo 
RIO ZAMORA;780.396;9.626.317;P2;26/1/2022 0:00;24,6;7,9;8,2;95;5,4;0,55;5,1;13;1853;50,56;Regular 
RIO BLANCO;816.042;9.740.147;P3;26/1/2022 0:00;22,6;7,3;7,9;110;6;0,99;6;15;2356;46,38;Malo 
RIO BLANCO;814.777;9.741.508;P4;26/1/2022 0:00;19,7;7;6;104;3,8;0,51;4,9;10;2000;49,77;Malo 
RIO ZAMORA;779.621;9.622.873;P1;30/1/2023 0:00;20,3;6,5;8,4;48;4,8;0,82;5,9;14;2500;47,09;Malo 
RIO ZAMORA;780.396;9.626.317;P2;30/1/2023 0:00;19,5;7,4;8,9;75;5,1;1,01;5,1;15;1000;49,5;Malo 
RIO BLANCO;816.042;9.740.147;P3;30/1/2023 0:00;22,2;7,9;8,3;93;5,9;0,32;0,23;12;813;54,67;Regular 
RIO BLANCO;814.777;9.741.508;P4;30/1/2023 0:00;21,9;7,1;7,8;104;6,1;0,83;0,84;11;1742;49,99;Malo
RIO ZAMORA;779.621;9.622.873;P1;5/5/2018 0:00;22;8;8,7;47;3,5;1;0,76;15;1875;49,05;Malo 
RIO ZAMORA;780.396;9.626.317;P2;5/5/2018 0:00;21,1;6,5;6,8;76;4;0,46;3;12;1942;50;Malo 
RIO BLANCO;816.042;9.740.147;P3;5/5/2018 0:00;21,6;7;7,3;65;5,5;0,01;3,5;10;594;61,17;Regular 
RIO BLANCO;814.777;9.741.508;P4;5/5/2018 0:00;19,6;7,5;7,3;89;6,5;0,83;0,95;14;935;48,86;Malo 
RIO ZAMORA;779.621;9.622.873;P1;10/5/2019 0:00;20,7;7,1;7,9;100;3,9;0,85;3,7;12;2095;50,15;Regular 
RIO ZAMORA;780.396;9.626.317;P2;10/5/2019 0:00;21,6;6,9;6,8;83;5;0,02;3,1;11;1999;56,37;Regular
RIO BLANCO;816.042;9.740.147;P3;10/5/2019 0:00;19,8;7,9;8,9;88;5,9;0,79;6;15;2500;47,03;Malo 
RIO BLANCO;814.777;9.741.508;P4;10/5/2019 0:00;25,9;8;8,2;99;6;0,33;5,9;13;1964;50,97;Regular 
RIO ZAMORA;779.621;9.622.873;P1;16/5/2020 0:00;24,3;7,4;8;110;6,3;0,74;3,6;14;2000;48,37;Malo 
RIO ZAMORA;780.396;9.626.317;P2;16/5/2020 0:00;21,6;7,8;7,3;49;3,9;0,14;2,1;11;1832;57,1;Regular 
RIO BLANCO;816.042;9.740.147;P3;16/5/2020 0:00;22;6,9;7,4;70;4,8;0,11;0,59;10;986;59,34;Regular 
RIO BLANCO;814.777;9.741.508;P4;16/5/2020 0:00;27;6,7;6,6;82;6;0,01;3,5;15;1733;53,75;Regular 
RIO ZAMORA;779.621;9.622.873;P1;21/5/2021 0:00;21,1;8;7,2;93;6,5;1,01;5,4;12;1843;46,96;Malo
RIO ZAMORA;780.396;9.626.317;P2;21/5/2021 0:00;19,9;7,4;8,4;80;5,3;1;3,6;13;1072;50,24;Regular 
RIO BLANCO;816.042;9.740.147;P3;21/5/2021 0:00;21,8;8;7,8;72;6,1;0,98;5,1;14;1953;46,97;Malo 
RIO BLANCO;814.777;9.741.508;P4;21/5/2021 0:00;23,2;7,1;7;90;3,9;0,82;6;12;1043;51,33;Regular 
RIO ZAMORA;779.621;9.622.873;P1;25/5/2022 0:00;20,8;6,6;6,3;48;4,1;0,84;3,1;13;598;49,59;Malo 
RIO ZAMORA;780.396;9.626.317;P2;25/5/2022 0:00;21,6;6,9;6;105;4,4;0,27;4,5;15;689;52,06;Regular 
RIO BLANCO;816.042;9.740.147;P3;25/5/2022 0:00;21,1;6,7;7,9;102;4,9;0,59;5;10;1842;51,34;Regular 
RIO BLANCO;814.777;9.741.508;P4;25/5/2022 0:00;20;7,5;6,2;97;5;0,19;0,36;11;974;55,42;Regular 
RIO ZAMORA;779.621;9.622.873;P1;29/5/2023 0:00;24,1;7,2;7,5;98;5,9;0,01;0,75;14;1842;55,95;Regular 
RIO ZAMORA;780.396;9.626.317;P2;29/5/2023 0:00;20,6;7;8,7;91;6,3;0,09;0,89;13;2074;55,19;Regular 
RIO BLANCO;816.042;9.740.147;P3;29/5/2023 0:00;21,7;8;8,9;84;5,3;0,64;5,4;12;542;53,5;Regular 
RIO BLANCO;814.777;9.741.508;P4;29/5/2023 0:00;19,5;7,1;6,9;86;6;0,83;6;11;964;49,68;Malo 
RIO ZAMORA;779.621;9.622.873;P1;3/9/2018 0:00;19,9;6,9;7,4;55;4,6;0,48;5,8;15;1853;49,37;Malo 
RIO ZAMORA;780.396;9.626.317;P2;3/9/2018 0:00;21;7,1;7,9;58;4,9;0,82;2,4;10;1889;50,95;Regular 
RIO BLANCO;816.042;9.740.147;P3;3/9/2018 0:00;22,6;7,9;7,2;56;5,1;1;3,5;11;2412;48,53;Malo 
RIO BLANCO;814.777;9.741.508;P4;3/9/2018 0:00;20;8;6,8;69;5,9;0,93;2;12;1432;47,95;Malo 
RIO ZAMORA;779.621;9.622.873;P1;9/9/2019 0:00;21,6;6,5;6,2;61;3,5;1,01;4,6;14;789;47,82;Malo 
RIO ZAMORA;780.396;9.626.317;P2;9/9/2019 0:00;21;7,3;8;75;6;0,82;5;12;545;52,2;Regular 
RIO BLANCO;816.042;9.740.147;P3;9/9/2019 0:00;19,6;8;6,2;68;6,4;0,59;4,1;15;867;47,37;Malo 
RIO BLANCO;814.777;9.741.508;P4;9/9/2019 0:00;20,5;7,9;6,9;47;5,3;0,98;4,8;13;1843;47,24;Malo 
RIO ZAMORA;779.621;9.622.873;P1;14/9/2020 0:00;19,9;6,9;7;94;6,4;0,43;2,6;12;900;51,31;Regular 
RIO ZAMORA;780.396;9.626.317;P2;14/9/2020 0:00;20;8;8;110;5,5;0,91;0,23;10;753;52,42;Regular 
RIO BLANCO;816.042;9.740.147;P3;14/9/2020 0:00;21,9;7,2;8,4;104;3,5;0,24;0,67;11;1845;56,86;Regular 
RIO BLANCO;814.777;9.741.508;P4;14/9/2020 0:00;22;7,9;8,1;72;5,4;0,73;0,92;15;1294;49,6;Malo 
RIO ZAMORA;779.621;9.622.873;P1;20/9/2021 0:00;21,8;7,1;8,9;57;6;0,18;1,6;12;1964;55,11;Regular 
RIO ZAMORA;780.396;9.626.317;P2;20/9/2021 0:00;22,6;8;6;51;4,4;0,73;3;13;1253;48,75;Malo 
RIO BLANCO;816.042;9.740.147;P3;20/9/2021 0:00;21,1;7,4;8,3;48;6,5;1,01;6;10;2500;48,62;Malo 
RIO BLANCO;814.777;9.741.508;P4;20/9/2021 0:00;20,9;6,9;7,3;63;3,9;1;3,5;11;1947;49,62;Malo 
RIO ZAMORA;779.621;9.622.873;P1;25/9/2022 0:00;19,8;8;7,9;75;6,3;0,78;2;15;2093;46,92;Malo 
RIO ZAMORA;780.396;9.626.317;P2;25/9/2022 0:00;19,5;6,6;7;50;4,6;0,93;5,2;12;1500;48;Malo 
RIO BLANCO;816.042;9.740.147;P3;25/9/2022 0:00;21,9;7,1;6,1;60;5;0,83;4,7;14;2345;46,11;Malo 
RIO BLANCO;814.777;9.741.508;P4;25/9/2022 0:00;20,3;8;8,3;72;6,3;0,73;0,85;10;1842;50,56;Regular 
RIO ZAMORA;779.621;9.622.873;P1;30/9/2023 0:00;24,6;7,4;8,1;63;5,8;0,19;0,99;11;1845;56,16;Regular 
RIO ZAMORA;780.396;9.626.317;P2;30/9/2023 0:00;20,9;7,9;8;83;5,1;1;0,64;12;987;50,89;Regular 
RIO BLANCO;816.042;9.740.147;P3;30/9/2023 0:00;20;6,5;8,9;104;3,5;0,92;0,23;13;1234;50,07;Regular
RIO BLANCO;814.777;9.741.508;P4;30/9/2023 0:00;19,9;8;8,4;96;4,9;1,01;0,56;14;1784;48,48;Malo 
RIO EL IDEAL;766.323;9.620.483;P5;11/2/2018 0:00;19,6;8,3;7,4;48;3,5;0,01;0,25;10;509;60,66;Regular
RIO EL IDEAL;762.450;9.627.837;P6;11/2/2018 0:00;21,5;8,5;8,4;108;3,9;0,17;0,5;15;1234;54,53;Regular
RIO CUYES;764.748;9.620.394;P7;11/2/2018 0:00;19,7;8,4;8,3;109;4,3;0,13;0,98;12;2432;54,76;Regular
RIO CUYES;756.340;9.616.850;P8;11/2/2018 0:00;20,3;8,6;7,3;103;4,2;1,01;0,32;14;1354;47,15;Mala
RIO EL IDEAL;766.323;9.620.483;P5;16/2/2019 0:00;19,3;8,2;6,2;57;5,4;0,03;0,74;13;940;54,85;Regular
RIO EL IDEAL;762.450;9.627.837;P6;16/2/2019 0:00;21,2;8,4;6,5;89;4,1;0,18;0,83;12;1340;54,93;Regular
RIO CUYES;764.748;9.620.394;P7;16/2/2019 0:00;19,9;8,3;7,5;78;5,2;0,1;0,45;15;2312;52,61;Regular
RIO CUYES;756.340;9.616.850;P8;16/2/2019 0:00;20,1;8,1;8,8;103;6,5;0,12;0,67;12;544;58,33;Regular
RIO EL IDEAL;766.323;9.620.483;P5;19/2/2020 0:00;19,9;8,4;6,7;56;6,3;0,2;0,87;10;1259;54,25;Regular
RIO EL IDEAL;762.450;9.627.837;P6;19/2/2020 0:00;21,4;8,6;8,5;104;3,7;0,17;1,4;11;2539;54,66;Regular
RIO CUYES;764.748;9.620.394;P7;19/2/2020 0:00;22,1;8,5;6,5;107;6,4;0,21;2,4;13;1422;50,65;Regular
RIO CUYES;756.340;9.616.850;P8;19/2/2020 0:00;20,1;8,7;6,4;102;5,2;1,01;5,4;10;597;48,37;Mala
RIO EL IDEAL;766.323;9.620.483;P5;23/2/2021 0:00;19,7;8,2;7,4;66;3,6;0,4;5,5;13;1265;52,03;Regular
RIO EL IDEAL;762.450;9.627.837;P6;23/2/2021 0:00;21,1;8,4;6,2;99;3,8;0,21;3,4;10;2435;52,45;Regular
RIO CUYES;764.748;9.620.394;P7;23/2/2021 0:00;23,5;8,3;8,1;98;6,3;0,28;3,5;11;1456;53,03;Regular
RIO CUYES;756.340;9.616.850;P8;23/2/2021 0:00;20,4;8,4;6,8;78;5,1;0,21;0,26;15;678;53,2;Regular
RIO EL IDEAL;766.323;9.620.483;P5;25/2/2022 0:00;19,6;8,1;8,6;49;5,9;0,6;0,57;13;1456;50,45;Regular
RIO EL IDEAL;762.450;9.627.837;P6;25/2/2022 0:00;21,7;8,6;7,4;106;4,6;0,24;1,53;14;2632;50,36;Regular
